mobId,name,mobL,playerL,weapon,aura,armor,skill,build,vials,wins/reps,ttk_med_s,ttk_p90_s,endhp_med_frac
1004,Plague Bat       ,2,2,2001,0,0,0,str,0,9/9,1.6,4.0,0.90
1004,Plague Bat       ,2,2,2002,0,0,0,str,0,9/9,1.6,4.0,0.90
1004,Plague Bat       ,2,2,2002,1,2101,0,str,0,9/9,0.1,2.5,1.00
1004,Plague Bat       ,2,2,2002,1,2101,1,str,4,9/9,0.1,0.1,1.00
1004,Plague Bat       ,2,2,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1004,Plague Bat       ,2,4,fists,0,0,0,str,0,9/9,3.2,5.7,0.82
1004,Plague Bat       ,2,4,2001,0,0,0,str,0,9/9,1.6,4.0,0.91
1004,Plague Bat       ,2,4,2002,0,0,0,str,0,9/9,0.1,2.5,1.00
1004,Plague Bat       ,2,4,2002,1,2101,0,str,0,9/9,0.1,2.5,1.00
1004,Plague Bat       ,2,4,2002,1,2101,1,str,4,9/9,0.1,0.1,1.00
1004,Plague Bat       ,2,4,2002,4,2102,1,str,6,9/9,0.1,0.1,1.00
1005,Bonepicker Gnoll ,7,6,fists,0,0,0,str,0,0/9,8.1,12.1,0.00
1005,Bonepicker Gnoll ,7,6,2001,0,0,0,str,0,0/9,8.1,12.1,0.00
1005,Bonepicker Gnoll ,7,6,2002,0,0,0,str,0,5/9,8.1,9.7,0.18
1005,Bonepicker Gnoll ,7,6,2002,1,2101,0,str,0,9/9,7.2,8.8,0.35
1005,Bonepicker Gnoll ,7,6,2002,1,2101,1,str,4,9/9,4.0,6.5,0.61
1005,Bonepicker Gnoll ,7,6,2002,4,2102,1,str,6,9/9,4.8,5.7,0.74
1005,Bonepicker Gnoll ,7,7,fists,0,0,0,str,0,0/9,10.1,13.1,0.00
1005,Bonepicker Gnoll ,7,7,2001,0,0,0,str,0,2/9,10.1,12.1,0.00
1005,Bonepicker Gnoll ,7,7,2002,0,0,0,str,0,7/9,8.1,9.7,0.22
1005,Bonepicker Gnoll ,7,7,2002,1,2101,0,str,0,9/9,7.2,8.8,0.38
1005,Bonepicker Gnoll ,7,7,2002,1,2101,1,str,4,9/9,3.2,6.0,0.63
1005,Bonepicker Gnoll ,7,7,2002,4,2102,1,str,6,9/9,4.0,4.8,0.73
1005,Bonepicker Gnoll ,7,9,fists,0,0,0,str,0,0/9,10.1,14.1,0.00
1005,Bonepicker Gnoll ,7,9,2001,0,0,0,str,0,3/9,10.1,12.1,0.00
1005,Bonepicker Gnoll ,7,9,2002,0,0,0,str,0,8/9,8.1,9.7,0.28
1005,Bonepicker Gnoll ,7,9,2002,1,2101,0,str,0,9/9,7.2,8.8,0.47
1005,Bonepicker Gnoll ,7,9,2002,1,2101,1,str,4,9/9,3.2,6.0,0.72
1005,Bonepicker Gnoll ,7,9,2002,4,2102,1,str,6,9/9,4.0,4.8,0.75
1006,Charnel Widow    ,9,8,fists,0,0,0,str,0,0/9,5.5,6.4,0.00
1006,Charnel Widow    ,9,8,2001,0,0,0,str,0,0/9,5.5,6.4,0.00
1006,Charnel Widow    ,9,8,2002,0,0,0,str,0,0/9,5.5,6.4,0.00
1006,Charnel Widow    ,9,8,2002,1,2101,0,str,0,1/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,8,2002,1,2101,1,str,4,9/9,4.8,8.8,0.72
1006,Charnel Widow    ,9,8,2002,4,2102,1,str,6,9/9,6.0,8.1,0.65
1006,Charnel Widow    ,9,9,fists,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,9,2001,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,9,2002,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,9,2002,1,2101,0,str,0,1/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,9,2002,1,2101,1,str,4,9/9,4.8,8.1,0.63
1006,Charnel Widow    ,9,9,2002,4,2102,1,str,6,9/9,6.0,8.1,0.66
1006,Charnel Widow    ,9,11,fists,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,11,2001,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,11,2002,0,0,0,str,0,0/9,6.4,7.3,0.00
1006,Charnel Widow    ,9,11,2002,1,2101,0,str,0,3/9,6.5,8.1,0.00
1006,Charnel Widow    ,9,11,2002,1,2101,1,str,4,9/9,4.0,8.1,0.59
1006,Charnel Widow    ,9,11,2002,4,2102,1,str,6,9/9,6.0,8.1,0.69
1007,Gravecaller      ,11,10,fists,0,0,0,str,0,0/9,5.6,6.7,0.00
1007,Gravecaller      ,11,10,2001,0,0,0,str,0,0/9,5.6,6.7,0.00
1007,Gravecaller      ,11,10,2002,0,0,0,str,0,0/9,5.6,6.7,0.00
1007,Gravecaller      ,11,10,2002,1,2101,0,str,0,2/9,5.6,7.8,0.00
1007,Gravecaller      ,11,10,2002,1,2101,1,str,4,9/9,6.0,9.7,0.59
1007,Gravecaller      ,11,10,2002,4,2102,1,str,6,9/9,7.2,8.1,0.69
1007,Gravecaller      ,11,11,fists,0,0,0,str,0,0/9,5.6,7.8,0.00
1007,Gravecaller      ,11,11,2001,0,0,0,str,0,0/9,5.6,7.8,0.00
1007,Gravecaller      ,11,11,2002,0,0,0,str,0,1/9,5.6,7.8,0.00
1007,Gravecaller      ,11,11,2002,1,2101,0,str,0,2/9,5.6,7.8,0.00
1007,Gravecaller      ,11,11,2002,1,2101,1,str,4,9/9,6.0,8.8,0.61
1007,Gravecaller      ,11,11,2002,4,2102,1,str,6,9/9,6.5,8.1,0.70
1008,Revenant Sexton  ,12,11,fists,0,0,0,str,0,0/9,5.1,6.1,0.00
1008,Revenant Sexton  ,12,11,2001,0,0,0,str,0,0/9,5.1,6.1,0.00
1008,Revenant Sexton  ,12,11,2002,0,0,0,str,0,0/9,5.1,6.1,0.00
1008,Revenant Sexton  ,12,11,2002,1,2101,0,str,0,0/9,6.1,7.1,0.00
1008,Revenant Sexton  ,12,11,2002,1,2101,1,str,4,3/9,10.1,11.1,0.00
1008,Revenant Sexton  ,12,11,2002,4,2102,1,str,6,8/9,12.1,14.1,0.55
1008,Revenant Sexton  ,12,12,fists,0,0,0,str,0,0/9,6.1,7.1,0.00
1008,Revenant Sexton  ,12,12,2001,0,0,0,str,0,0/9,6.1,7.1,0.00
1008,Revenant Sexton  ,12,12,2002,0,0,0,str,0,0/9,6.1,7.1,0.00
1008,Revenant Sexton  ,12,12,2002,1,2101,0,str,0,0/9,6.1,7.1,0.00
1008,Revenant Sexton  ,12,12,2002,1,2101,1,str,4,3/9,10.1,11.1,0.00
1008,Revenant Sexton  ,12,12,2002,4,2102,1,str,6,8/9,12.1,14.1,0.56
