mobId,name,mobL,playerL,weapon,aura,armor,skill,build,vials,wins/reps,ttk_med_s,ttk_p90_s,endhp_med_frac
1001,Marsh Rat        ,1,1,fists,0,0,0,str,0,9/9,4.0,6.0,0.87
1001,Marsh Rat        ,1,1,2001,0,0,0,str,0,9/9,2.5,4.2,0.94
1001,Marsh Rat        ,1,1,2002,0,0,0,str,0,9/9,1.6,3.2,0.96
1001,Marsh Rat        ,1,1,2002,1,2101,0,str,0,9/9,1.6,3.2,0.97
1001,Marsh Rat        ,1,1,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,1,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,fists,0,0,0,str,0,9/9,4.0,6.0,0.89
1001,Marsh Rat        ,1,3,2001,0,0,0,str,0,9/9,2.5,4.2,0.94
1001,Marsh Rat        ,1,3,2002,0,0,0,str,0,9/9,1.6,3.2,0.96
1001,Marsh Rat        ,1,3,2002,1,2101,0,str,0,9/9,1.6,3.2,0.97
1001,Marsh Rat        ,1,3,2002,1,2101,1,str,4,9/9,0.1,0.8,1.00
1001,Marsh Rat        ,1,3,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1002,Feral Ghoul      ,3,2,fists,0,0,0,str,0,8/9,8.1,11.2,0.31
1002,Feral Ghoul      ,3,2,2001,0,0,0,str,0,9/9,4.8,7.2,0.64
1002,Feral Ghoul      ,3,2,2002,0,0,0,str,0,9/9,4.0,4.8,0.73
1002,Feral Ghoul      ,3,2,2002,1,2101,0,str,0,9/9,2.5,4.0,0.84
1002,Feral Ghoul      ,3,2,2002,1,2101,1,str,4,9/9,1.6,2.0,0.92
1002,Feral Ghoul      ,3,2,2002,4,2102,1,str,6,9/9,0.8,2.0,0.92
1002,Feral Ghoul      ,3,3,fists,0,0,0,str,0,9/9,8.1,11.2,0.35
1002,Feral Ghoul      ,3,3,2001,0,0,0,str,0,9/9,4.8,7.2,0.66
1002,Feral Ghoul      ,3,3,2002,0,0,0,str,0,9/9,4.0,4.8,0.75
1002,Feral Ghoul      ,3,3,2002,1,2101,0,str,0,9/9,2.5,4.0,0.85
1002,Feral Ghoul      ,3,3,2002,1,2101,1,str,4,9/9,1.6,2.0,0.92
1002,Feral Ghoul      ,3,3,2002,4,2102,1,str,6,9/9,0.8,2.0,0.92
1002,Feral Ghoul      ,3,5,fists,0,0,0,str,0,9/9,7.2,10.4,0.49
1002,Feral Ghoul      ,3,5,2001,0,0,0,str,0,9/9,4.8,7.2,0.69
1002,Feral Ghoul      ,3,5,2002,0,0,0,str,0,9/9,2.5,4.0,0.85
1002,Feral Ghoul      ,3,5,2002,1,2101,0,str,0,9/9,2.5,4.0,0.86
1002,Feral Ghoul      ,3,5,2002,1,2101,1,str,4,9/9,0.8,1.6,0.93
1002,Feral Ghoul      ,3,5,2002,4,2102,1,str,6,9/9,0.8,1.6,0.93
1003,Hollow Hound     ,5,4,fists,0,0,0,str,0,0/9,8.9,11.3,0.00
1003,Hollow Hound     ,5,4,2001,0,0,0,str,0,3/9,8.1,9.7,0.00
1003,Hollow Hound     ,5,4,2002,0,0,0,str,0,7/9,4.8,8.1,0.42
1003,Hollow Hound     ,5,4,2002,1,2101,0,str,0,9/9,4.0,6.5,0.57
1003,Hollow Hound     ,5,4,2002,1,2101,1,str,4,9/9,2.0,3.2,0.68
1003,Hollow Hound     ,5,4,2002,4,2102,1,str,6,9/9,2.0,4.0,0.80
1003,Hollow Hound     ,5,5,fists,0,0,0,str,0,1/9,9.7,12.1,0.00
1003,Hollow Hound     ,5,5,2001,0,0,0,str,0,4/9,8.9,9.7,0.00
1003,Hollow Hound     ,5,5,2002,0,0,0,str,0,8/9,4.8,8.1,0.45
1003,Hollow Hound     ,5,5,2002,1,2101,0,str,0,9/9,4.0,6.5,0.59
1003,Hollow Hound     ,5,5,2002,1,2101,1,str,4,9/9,2.0,3.2,0.69
1003,Hollow Hound     ,5,5,2002,4,2102,1,str,6,9/9,2.0,4.0,0.81
1003,Hollow Hound     ,5,7,fists,0,0,0,str,0,2/9,9.7,12.1,0.00
1003,Hollow Hound     ,5,7,2001,0,0,0,str,0,6/9,8.1,9.7,0.13
1003,Hollow Hound     ,5,7,2002,0,0,0,str,0,9/9,4.0,6.5,0.60
1003,Hollow Hound     ,5,7,2002,1,2101,0,str,0,9/9,4.0,6.5,0.63
1003,Hollow Hound     ,5,7,2002,1,2101,1,str,4,9/9,2.0,3.2,0.72
1003,Hollow Hound     ,5,7,2002,4,2102,1,str,6,9/9,2.0,3.2,0.83
1004,Plague Bat       ,2,1,fists,0,0,0,str,0,9/9,3.2,5.7,0.73
1004,Plague Bat       ,2,1,2001,0,0,0,str,0,9/9,1.6,4.0,0.89
1004,Plague Bat       ,2,1,2002,0,0,0,str,0,9/9,1.6,4.0,0.89
1004,Plague Bat       ,2,1,2002,1,2101,0,str,0,9/9,0.1,2.5,1.00
1004,Plague Bat       ,2,1,2002,1,2101,1,str,4,9/9,0.1,0.1,1.00
1004,Plague Bat       ,2,1,2002,4,2102,1,str,6,9/9,0.1,0.8,1.00
1004,Plague Bat       ,2,2,fists,0,0,0,str,0,9/9,3.2,5.7,0.75
